"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","122015.4","","","","1"
"2014-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","120914.3","","","","1"
"2014-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","125070.6","","","","1"
"2014-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","125771.4","","","","1"
"2014-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","126945.2","","","","1"
"2015-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","126037.4","","","","1"
"2015-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","125584.8","","","","1"
"2015-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","124222.4","","","","1"
"2015-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","124232.0","","","","1"
"2016-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","124622.4","","","","1"
"2016-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","124625.3","","","","1"
"2016-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","126506.4","","","","1"
"2016-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","123370.0","","","","1"
"2017-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","128539.5","","","","1"
"2017-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","131348.1","","","","1"
"2017-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","130156.0","","","","1"
"2017-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","133451.7","","","","1"
"2018-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","134961.5","","","","1"
"2018-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","137540.6","","","","1"
"2018-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","134061.7","","","","1"
"2018-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","132756.0","","","","1"
"2019-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","137532.9","","","","1"
"2019-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","136561.8","","","","1"
"2019-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","135683.4","","","","1"
"2019-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","133471.1","","","","1"
"2020-01","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","129428.9","","","","1"
"2020-04","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","103697.2","","","","1"
"2020-07","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","130250.9","","","","1"
"2020-10","Canada","2016A000011124","Import","Total of all merchandise","Dollars","81","millions","6","v1001808779","1.1.1","133727.7","","","","1"
"1997-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","85592.8","","","","1"
"1997-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","86775.4","","","","1"
"1997-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","89443.6","","","","1"
"1997-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","90919.3","","","","1"
"1998-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","92976.6","","","","1"
"1998-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","94013.5","","","","1"
"1998-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","96275.3","","","","1"
"1998-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","100196.0","","","","1"
"1999-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","103936.5","","","","1"
"1999-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","104545.3","","","","1"
"1999-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","108443.4","","","","1"
"1999-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","111051.0","","","","1"
"2000-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","114733.0","","","","1"
"2000-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","116874.8","","","","1"
"2000-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","117682.3","","","","1"
"2000-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","117429.1","","","","1"
"2001-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","115041.9","","","","1"
"2001-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","113903.8","","","","1"
"2001-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","111380.1","","","","1"
"2001-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","111614.5","","","","1"
"2002-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","112937.9","","","","1"
"2002-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","112867.4","","","","1"
"2002-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","115588.9","","","","1"
"2002-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","113078.6","","","","1"
"2003-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","111817.6","","","","1"
"2003-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","110053.8","","","","1"
"2003-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","110610.4","","","","1"
"2003-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","114023.1","","","","1"
"2004-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","113931.9","","","","1"
"2004-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","119717.4","","","","1"
"2004-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","119064.5","","","","1"
"2004-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","117415.7","","","","1"
"2005-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","118863.1","","","","1"
"2005-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","118011.6","","","","1"
"2005-07","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","119830.0","","","","1"
"2005-10","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","122998.3","","","","1"
"2006-01","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","121443.2","","","","1"
"2006-04","Canada","2016A000011124","Export","Total of all merchandise","Dollars","81","millions","6","v1001808793","1.2.1","120312.2","","","","1"
