"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Adjustments","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999-12","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","23387176","","","","0"
"2000-01","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","23434451","","","","0"
"2000-02","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","23378327","","","","0"
"2000-03","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","23813646","","","","0"
"2000-04","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","23537859","","","","0"
"2000-05","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","23644020","","","","0"
"2000-06","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","23841011","","","","0"
"2000-07","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","24204193","","","","0"
"2000-08","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","24266358","","","","0"
"2000-09","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","24495699","","","","0"
"2000-10","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","24330740","","","","0"
"2000-11","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","24373656","","","","0"
"2000-12","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","24518477","","","","0"
"2001-01","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","24640517","","","","0"
